,PartNumber,Info
"
91,98,"2,98;1.03625,3.66452,-0.70626/1.03625,3.66452,-0.70626/1.03625,3.66452,-0.70626;1,13,1,0;40.213069036109;1,0,1;0,1,0;3,1,2;
"
92,99,"2,99;-2.90776,1.88046,-2.10633/-2.90776,1.88046,-2.10633/-2.90776,1.88046,-2.10633;1,6,1,0;40.468229888032;0,1,0;1,0,0;1,1,1;
"
93,100,"2,100;-0.774405,3.00407,-1.48399/-0.774405,3.00407,-1.48399/-0.774405,3.00407,-1.48399;1,7,1,0;40.315491485312;1,0,1;0,1,0;2,1,2;
"
94,100,"0,100;-0.755664,2.96031,-1.4445/-0.755664,2.96031,-1.4445/-0.755664,2.96031,-1.4445;1,7,1,0;40.31457562583;1,0,1;1,0,0;4,1,2;
"
95,100,"0,100;-0.774508,3.0054,-1.48427/-0.774508,3.0054,-1.48427/-0.774508,3.0054,-1.48427;1,7,1,0;40.315490871678;0,1,0;1,0,0;2,2,0/2,5,0/4,1,1;
"
96,100,"0,100;0.924004,-0.788406,2.04815/0.924004,-0.788406,2.04815/0.924004,-0.788406,2.04815;1,30,1,0;40.490755793112;1,0,1;0,1,0;2,1,2;
"
97,100,"0,100;0.924568,-0.791292,2.04047/0.924568,-0.791292,2.04047/0.924568,-0.791292,2.04047;1,30,1,0;40.490739301203;1,0,1;1,0,0;1,1,2;
"
98,101,"2,101;-0.141189,-1.7165,-0.181287/-0.141189,-1.7165,-0.181287/-0.141189,-1.7165,-0.181287;1,15,1,0;40.550621765302;1,0,1;1,0,0;1,1,2;
"
99,102,"2,102;1.69816,-0.704779,-3.04608/1.69816,-0.704779,-3.04608/1.69816,-0.704779,-3.04608;1,3,1,0;40.311863658893;1,0,1;0,1,0;2,1,2;
"
100,102,"0,102;1.6984,-0.70271,-3.04778/1.6984,-0.70271,-3.04778/1.6984,-0.70271,-3.04778;1,3,1,0;40.31186370322;1,0,1;1,0,0;4,1,2;
